user,length_years,missing_samples_pct,p1,p2,p3,p4,p5,p6,cnae,contracted_tariff,zip_code,municipality,num_active_periods,tariff_fixture,cnae_2d,sector
a09220accfcc670c1b86128b8413344dff826b8950080a2f4fedb0b006c788c2,5.01300479123888,0.184325505188422,3.45,3.45,,,,,9820,2_active_periods,1002.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a0952ab55ef0555f2c4639f6deba08e077773635bfe0671a85f06d968f7d5652,3.48254620123203,0.0196540880503145,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a099799f3c9b2c830149c4d73a605892fe9769bbde5e66560822ec9e9adcf312,4.2299794661191,0.0242718446601942,3.45,3.45,,,,,9820,2_active_periods,48013.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a099b273fa97632a3a6989f7719698cc1247a07bbd0990387cf30678e984c39d,1.79329226557153,0.636132315521629,3.45,3.45,,,,,9820,2_active_periods,20009.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
a099d7f979cda943b440d0b16d7ad517cb3e23e196bfe27547bdf1cbbc14b7b1,5.01300479123888,0.129710540688149,3.3,3.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a09b8fbf699f3351dec9f377d64ce10f77ac20849e2c0ac5e8b510d29392ea2f,1.52224503764545,0.0149880095923261,4.0,4.0,,,,,9820,2_active_periods,28011.0,Madrid,2,1-1-0-0-0-0,98,Household production
a09c86a8a6f2371b717a94a58a9de251cdf616e37dbf454b72ba10cc7483e3fd,3.21697467488022,0.0212765957446809,3.3,3.3,,,,,9820,2_active_periods,48006.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a0a8b7fc2476736d266c139c49d4343b9ec4906a8b9d21b7123d4e3ea2cea26d,1.2703627652293,0.0269396551724138,4.5,4.5,,,,,9820,2_active_periods,28029.0,Madrid,2,1-1-0-0-0-0,98,Household production
a0a97d638446d7ee3a36b7a84bad76e453f03dd32bf6e05dba0198575d8c3afe,4.30937713894593,0.0238246505717916,3.45,3.45,,,,,9820,2_active_periods,1010.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a0aabc106f56e527876b9588fd666bea69361f335826f20fed77fe7442191a1d,3.09103353867214,0.0221434898139947,3.3,3.3,,,,,9820,2_active_periods,50003.0,Zaragoza,2,1-1-0-0-0-0,98,Household production
a0b1157a9794da3b73b2365f5307767eac70b9c15363ae5944a598d9f3831fda,5.01300479123888,0.0705443291461861,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0b1cc3074bb95bcc4ab0ffe101f0497a2f19bf6a4d7c432b20c5f403b8c8922,1.52498288843258,0.0224416517055655,6.6,6.6,,,,,5221,2_active_periods,,,2,1-1-0-0-0-0,52,Warehousing and logistics
a0b639a66dd19cb430f414ed603aef29a750d7cf961a5c2879ef7f09624d4b9c,2.63107460643395,0.0216788067984738,3.45,,,,,,9820,1_active_periods,31014.0,Pamplona/Iruna,1,1-0-0-0-0-0,98,Household production
a0b764d8bf6e1097779685601dde30b39fee482bf362d7c66ec61e5a38900a65,1.66461327857632,0.0274122807017544,4.6,4.6,,,,,9820,2_active_periods,20304.0,Irun,2,1-1-0-0-0-0,98,Household production
