sector,date,avg_kwh,std_kwh,n_users
Household production,2021-06-04,0.2238066195335979,0.3156989099690099,14438
Household production,2021-06-05,0.22532560821389858,0.2974117221596303,14440
Household production,2021-06-06,0.22459430978762693,0.27666201321139894,14440
Household production,2021-06-07,0.21594190616343487,0.29965084715759494,14440
Household production,2021-06-08,0.21848407202216064,0.2941938704934266,14440
Household production,2021-06-09,0.22020912684672206,0.2964844905672583,14440
Household production,2021-06-10,0.21706531336565094,0.2976948382123633,14440
Household production,2021-06-11,0.21125766004924587,0.2944271485808031,14440
Household production,2021-06-12,0.21161565962603876,0.2840757280337476,14440
Household production,2021-06-13,0.21645748210987995,0.27290044777943717,14440
Household production,2021-06-14,0.22219432421514307,0.30104995205513635,14440
Household production,2021-06-15,0.221270804478301,0.29885336253877376,14440
Household production,2021-06-16,0.22725605667128343,0.31519930735598817,14440
Household production,2021-06-17,0.22646306748230222,0.3048356552103889,14440
Household production,2021-06-18,0.21192019371345025,0.29447887930675704,14440
Household production,2021-06-19,0.2194444886888273,0.2970944017171931,14440
Household production,2021-06-20,0.21818117209141272,0.27537099893859096,14440
Household production,2021-06-21,0.21591214508310244,0.29594198123749166,14440
Household production,2021-06-22,0.21840898834256692,0.29897782045950133,14440
Household production,2021-06-23,0.22119387407663893,0.32328503521153706,14440
Household production,2021-06-24,0.21164131271160355,0.3303127132088976,14440
Household production,2021-06-25,0.2008259204755309,0.2944738245455192,14440
Household production,2021-06-26,0.20379385099261307,0.28698252303699645,14440
Household production,2021-06-27,0.22285320579409046,0.28232124060256253,14440
Household production,2021-06-28,0.21696243651892888,0.32412733551267664,14440
Household production,2021-06-29,0.21442830101569713,0.2950480435579838,14440
Household production,2021-06-30,0.21014658644967676,0.2933052718229366,14440
Household production,2021-07-01,0.21381757271468138,0.29416181079638953,14440
Household production,2021-07-02,0.20455447253000922,0.2925892441050162,14440
Household production,2021-07-03,0.20541966181902122,0.2871094280572838,14440
Household production,2021-07-04,0.20878973626500458,0.27063043713135215,14440
Household production,2021-07-05,0.20756030990304705,0.29507893180633016,14440
Household production,2021-07-06,0.21770705794090486,0.2984280091281826,14440
Household production,2021-07-07,0.21235212084487531,0.29330362412588107,14440
Household production,2021-07-08,0.20784068271006462,0.29847217418199223,14440
Household production,2021-07-09,0.19829159921802858,0.292900174849763,14440
Household production,2021-07-10,0.1984769188596491,0.2834271505569891,14440
Household production,2021-07-11,0.20677167590027698,0.27300240905861517,14440
Household production,2021-07-12,0.21565127827793165,0.29770621684382653,14440
Household production,2021-07-13,0.21576397160664817,0.30010772906843014,14440
Household production,2021-07-14,0.2126619113573407,0.29922234852312307,14440
Household production,2021-07-15,0.2075782173361034,0.2932472352155392,14440
Household production,2021-07-16,0.20209358336218836,0.29711169635195367,14440
Household production,2021-07-17,0.19987827793167123,0.2872490014949038,14440
Household production,2021-07-18,0.20416449676823634,0.276367028952745,14440
Household production,2021-07-19,0.20666123326408123,0.30239377805838197,14440
Household production,2021-07-20,0.20894199128578023,0.29890066272854177,14440
Household production,2021-07-21,0.2134745484187442,0.31287512537440626,14440
Household production,2021-07-22,0.2142824965373961,0.3212898908199938,14440
Household production,2021-07-23,0.21078064079813016,0.30627256127108116,14440
Household production,2021-07-24,0.20292236553554938,0.28521469972524366,14440
Household production,2021-07-25,0.20713978531855953,0.2719106362130225,14440
Household production,2021-07-26,0.20521185797553088,0.29367459328118894,14440
Household production,2021-07-27,0.2074606114381348,0.29739876583024066,14440
Household production,2021-07-28,0.2082993666320406,0.29893767517440567,14440
Household production,2021-07-29,0.20703812182594641,0.2981611505639222,14440
Household production,2021-07-30,0.20314062644275158,0.2928582973001871,14440
Household production,2021-07-31,0.21097315616343487,0.2958567572164202,14440
Household production,2021-08-01,0.1990494228993536,0.27199695830687964,14440
Household production,2021-08-02,0.19531167763157892,0.27970905850991495,14440
Household production,2021-08-03,0.19742683229455213,0.27869468407708964,14440
Household production,2021-08-04,0.19989428093259462,0.2884069881433947,14440
